zip,city,state_id,state_name,county_name
73002,Alex,OK,Oklahoma,Grady
73003,Edmond,OK,Oklahoma,Oklahoma
73004,Amber,OK,Oklahoma,Grady
73005,Anadarko,OK,Oklahoma,Caddo
73006,Apache,OK,Oklahoma,Caddo
73007,Arcadia,OK,Oklahoma,Oklahoma
73008,Bethany,OK,Oklahoma,Oklahoma
73009,Binger,OK,Oklahoma,Caddo
73010,Blanchard,OK,Oklahoma,McClain
73011,Bradley,OK,Oklahoma,Grady
73012,Edmond,OK,Oklahoma,Oklahoma
73013,Edmond,OK,Oklahoma,Oklahoma
73014,Calumet,OK,Oklahoma,Canadian
73015,Carnegie,OK,Oklahoma,Caddo
73016,Cashion,OK,Oklahoma,Kingfisher
73017,Cement,OK,Oklahoma,Caddo
73018,Chickasha,OK,Oklahoma,Grady
73019,Norman,OK,Oklahoma,Cleveland
73020,Choctaw,OK,Oklahoma,Oklahoma
73021,Colony,OK,Oklahoma,Washita
73024,Corn,OK,Oklahoma,Washita
73025,Edmond,OK,Oklahoma,Oklahoma
73026,Norman,OK,Oklahoma,Cleveland
73027,Coyle,OK,Oklahoma,Logan
73028,Crescent,OK,Oklahoma,Logan
73029,Cyril,OK,Oklahoma,Caddo
73030,Davis,OK,Oklahoma,Murray
73032,Dougherty,OK,Oklahoma,Murray
73033,Eakly,OK,Oklahoma,Caddo
73034,Edmond,OK,Oklahoma,Oklahoma
73036,El Reno,OK,Oklahoma,Canadian
73038,Fort Cobb,OK,Oklahoma,Caddo
73040,Geary,OK,Oklahoma,Blaine
73041,Gotebo,OK,Oklahoma,Kiowa
73042,Gracemont,OK,Oklahoma,Caddo
73043,Greenfield,OK,Oklahoma,Blaine
73044,Guthrie,OK,Oklahoma,Logan
73045,Harrah,OK,Oklahoma,Oklahoma
73047,Hinton,OK,Oklahoma,Caddo
73048,Hydro,OK,Oklahoma,Custer
73049,Jones,OK,Oklahoma,Oklahoma
73050,Langston,OK,Oklahoma,Logan
73051,Lexington,OK,Oklahoma,Cleveland
73052,Lindsay,OK,Oklahoma,Garvin
73053,Lookeba,OK,Oklahoma,Caddo
73054,Luther,OK,Oklahoma,Oklahoma
73055,Marlow,OK,Oklahoma,Stephens
73056,Marshall,OK,Oklahoma,Logan
73057,Maysville,OK,Oklahoma,Garvin
73058,Meridian,OK,Oklahoma,Logan
73059,Minco,OK,Oklahoma,Grady
73061,Morrison,OK,Oklahoma,Noble
73062,Mountain View,OK,Oklahoma,Kiowa
73063,Mulhall,OK,Oklahoma,Logan
73064,Mustang,OK,Oklahoma,Canadian
73065,Newcastle,OK,Oklahoma,McClain
73066,Nicoma Park,OK,Oklahoma,Oklahoma
73067,Ninnekah,OK,Oklahoma,Grady
73068,Noble,OK,Oklahoma,Cleveland
73069,Norman,OK,Oklahoma,Cleveland
73071,Norman,OK,Oklahoma,Cleveland
73072,Norman,OK,Oklahoma,Cleveland
73073,Orlando,OK,Oklahoma,Logan
73074,Paoli,OK,Oklahoma,Garvin
73075,Pauls Valley,OK,Oklahoma,Garvin
73077,Perry,OK,Oklahoma,Noble
73078,Piedmont,OK,Oklahoma,Canadian
73079,Pocasset,OK,Oklahoma,Grady
73080,Purcell,OK,Oklahoma,McClain
73082,Rush Springs,OK,Oklahoma,Grady
73084,Spencer,OK,Oklahoma,Oklahoma
73086,Sulphur,OK,Oklahoma,Murray
73089,Tuttle,OK,Oklahoma,Grady
73090,Union City,OK,Oklahoma,Canadian
73092,Verden,OK,Oklahoma,Grady
73093,Washington,OK,Oklahoma,McClain
73095,Wayne,OK,Oklahoma,McClain
73096,Weatherford,OK,Oklahoma,Custer
73097,Wheatland,OK,Oklahoma,Oklahoma
73098,Wynnewood,OK,Oklahoma,Garvin
73099,Yukon,OK,Oklahoma,Canadian
73102,Oklahoma City,OK,Oklahoma,Oklahoma
73103,Oklahoma City,OK,Oklahoma,Oklahoma
73104,Oklahoma City,OK,Oklahoma,Oklahoma
73105,Oklahoma City,OK,Oklahoma,Oklahoma
73106,Oklahoma City,OK,Oklahoma,Oklahoma
73107,Oklahoma City,OK,Oklahoma,Oklahoma
73108,Oklahoma City,OK,Oklahoma,Oklahoma
73109,Oklahoma City,OK,Oklahoma,Oklahoma
