county_name,number_registered
Adair,11291
Alfalfa,6790
Atoka,13575
Beaver,7759
Beckham,23652
Blaine,11289
Bryan,44147
Caddo,24248
Canadian,131894
Carter,49160
Cherokee,25040
Choctaw,15220
Cimarron,4111
Cleveland,238680
Coal,5163
Comanche,93221
Cotton,5908
Craig,12144
Creek,68225
Custer,28124
Delaware,29592
Dewey,6768
Ellis,4870
Garfield,62181
Garvin,31522
Grady,54357
Grant,6807
Greer,5151
Harmon,2830
Harper,5143
Haskell,13318
Hughes,13211
Jackson,24058
Jefferson,5838
Johnston,10849
Kay,43305
Kingfisher,22511
Kiowa,9128
Latimer,11255
Leflore,48001
Lincoln,35925
Logan,45593
Love,10493
McClain,43331
McCurtain,33237
McIntosh,18078
Major,10584
Marshall,16722
Mayes,31784
Murray,14422
Muskogee,52808
Noble,12059
Nowata,9193
Okfuskee,8615
Oklahoma,840960
Okmulgee,31465
Osage,36977
Ottawa,24966
Pawnee,17176
Payne,61377
Pittsburg,42372
Pontotoc,37228
Pottawatomie,62518
Pushmataha,12601
Roger Mills,4599
Rogers,82299
Seminole,20553
Sequoyah,28650
Stephens,45747
Texas,22578
Tillman,7596
Tulsa,554962
Wagoner,65087
Washington,43851
Washita,11275
Woods,10552
Woodward,23281
