Copo,Name,Distribution Date,Amount
0105,Town of Stilwell,10-Jul-18,652.71
0105,Town of Stilwell,10-Aug-18,643.07
0105,Town of Stilwell,11-Sep-18,631.59
0105,Town of Stilwell,8-Oct-18,549.52
0105,Town of Stilwell,13-Nov-18,678.73
0105,Town of Stilwell,11-Dec-18,620.63
0105,Town of Stilwell,10-Jan-19,602.25
0105,Town of Stilwell,11-Feb-19,611.64
0105,Town of Stilwell,11-Mar-19,500.28
0105,Town of Stilwell,9-Apr-19,603.33
0105,Town of Stilwell,10-May-19,507.06
0105,Town of Stilwell,11-Jun-19,749.50
0110,Town of Watts,10-Jul-18,50.56
0110,Town of Watts,10-Aug-18,49.81
0110,Town of Watts,11-Sep-18,48.92
0110,Town of Watts,8-Oct-18,42.57
0110,Town of Watts,13-Nov-18,52.58
0110,Town of Watts,11-Dec-18,48.07
0110,Town of Watts,10-Jan-19,46.65
0110,Town of Watts,11-Feb-19,47.38
0110,Town of Watts,11-Mar-19,38.75
0110,Town of Watts,9-Apr-19,46.73
0110,Town of Watts,10-May-19,39.28
0110,Town of Watts,11-Jun-19,58.06
0115,Town of Westville,10-Jul-18,252.15
0115,Town of Westville,10-Aug-18,248.42
0115,Town of Westville,11-Sep-18,243.99
0115,Town of Westville,8-Oct-18,212.28
0115,Town of Westville,13-Nov-18,262.20
0115,Town of Westville,11-Dec-18,239.75
0115,Town of Westville,10-Jan-19,232.65
0115,Town of Westville,11-Feb-19,236.28
0115,Town of Westville,11-Mar-19,193.26
0115,Town of Westville,9-Apr-19,233.07
0115,Town of Westville,10-May-19,195.88
0115,Town of Westville,11-Jun-19,289.54
0205,Town of Aline,10-Jul-18,35.88
0205,Town of Aline,10-Aug-18,35.35
0205,Town of Aline,11-Sep-18,34.72
0205,Town of Aline,8-Oct-18,30.21
0205,Town of Aline,13-Nov-18,37.31
0205,Town of Aline,11-Dec-18,34.12
0205,Town of Aline,10-Jan-19,33.11
0205,Town of Aline,11-Feb-19,33.62
0205,Town of Aline,11-Mar-19,27.50
0205,Town of Aline,9-Apr-19,33.17
