,Copo,City_Name,Distribution Date,Amount,TAG AGENCIES,ADDRESS,CITY,STATE,ZIP,PHONE1,LONGITUDE,LATITUDE,Location,zip,city,county_name
0,105.0,Stilwell,10-Jul-18,652.71,Stilwell Tag Agency,115 West Division,Stilwell,OK,74960.0,(918) 696-3841,-94.627449,35.81453,"(35.81453, -94.627449)",74960.0,Stilwell,Adair
1,105.0,Stilwell,10-Aug-18,643.07,Stilwell Tag Agency,115 West Division,Stilwell,OK,74960.0,(918) 696-3841,-94.627449,35.81453,"(35.81453, -94.627449)",74960.0,Stilwell,Adair
2,105.0,Stilwell,11-Sep-18,631.59,Stilwell Tag Agency,115 West Division,Stilwell,OK,74960.0,(918) 696-3841,-94.627449,35.81453,"(35.81453, -94.627449)",74960.0,Stilwell,Adair
3,105.0,Stilwell,8-Oct-18,549.52,Stilwell Tag Agency,115 West Division,Stilwell,OK,74960.0,(918) 696-3841,-94.627449,35.81453,"(35.81453, -94.627449)",74960.0,Stilwell,Adair
4,105.0,Stilwell,13-Nov-18,678.73,Stilwell Tag Agency,115 West Division,Stilwell,OK,74960.0,(918) 696-3841,-94.627449,35.81453,"(35.81453, -94.627449)",74960.0,Stilwell,Adair
5,105.0,Stilwell,11-Dec-18,620.63,Stilwell Tag Agency,115 West Division,Stilwell,OK,74960.0,(918) 696-3841,-94.627449,35.81453,"(35.81453, -94.627449)",74960.0,Stilwell,Adair
6,105.0,Stilwell,10-Jan-19,602.25,Stilwell Tag Agency,115 West Division,Stilwell,OK,74960.0,(918) 696-3841,-94.627449,35.81453,"(35.81453, -94.627449)",74960.0,Stilwell,Adair
7,105.0,Stilwell,11-Feb-19,611.64,Stilwell Tag Agency,115 West Division,Stilwell,OK,74960.0,(918) 696-3841,-94.627449,35.81453,"(35.81453, -94.627449)",74960.0,Stilwell,Adair
8,105.0,Stilwell,11-Mar-19,500.28,Stilwell Tag Agency,115 West Division,Stilwell,OK,74960.0,(918) 696-3841,-94.627449,35.81453,"(35.81453, -94.627449)",74960.0,Stilwell,Adair
9,105.0,Stilwell,9-Apr-19,603.33,Stilwell Tag Agency,115 West Division,Stilwell,OK,74960.0,(918) 696-3841,-94.627449,35.81453,"(35.81453, -94.627449)",74960.0,Stilwell,Adair
10,105.0,Stilwell,10-May-19,507.06,Stilwell Tag Agency,115 West Division,Stilwell,OK,74960.0,(918) 696-3841,-94.627449,35.81453,"(35.81453, -94.627449)",74960.0,Stilwell,Adair
11,105.0,Stilwell,11-Jun-19,749.50,Stilwell Tag Agency,115 West Division,Stilwell,OK,74960.0,(918) 696-3841,-94.627449,35.81453,"(35.81453, -94.627449)",74960.0,Stilwell,Adair
12,110.0,Watts,10-Jul-18,50.56,,,,,,,,,,,,
13,110.0,Watts,10-Aug-18,49.81,,,,,,,,,,,,
14,110.0,Watts,11-Sep-18,48.92,,,,,,,,,,,,
15,110.0,Watts,8-Oct-18,42.57,,,,,,,,,,,,
16,110.0,Watts,13-Nov-18,52.58,,,,,,,,,,,,
17,110.0,Watts,11-Dec-18,48.07,,,,,,,,,,,,
18,110.0,Watts,10-Jan-19,46.65,,,,,,,,,,,,
19,110.0,Watts,11-Feb-19,47.38,,,,,,,,,,,,
20,110.0,Watts,11-Mar-19,38.75,,,,,,,,,,,,
21,110.0,Watts,9-Apr-19,46.73,,,,,,,,,,,,
22,110.0,Watts,10-May-19,39.28,,,,,,,,,,,,
23,110.0,Watts,11-Jun-19,58.06,,,,,,,,,,,,
24,115.0,Westville,10-Jul-18,252.15,Westville Tag Agency,218 South Williams,Westville,OK,74965.0,(918) 723-3762,-94.565799,35.987840000000006,"(35.98784, -94.565799)",74965.0,Westville,Adair
25,115.0,Westville,10-Aug-18,248.42,Westville Tag Agency,218 South Williams,Westville,OK,74965.0,(918) 723-3762,-94.565799,35.987840000000006,"(35.98784, -94.565799)",74965.0,Westville,Adair
26,115.0,Westville,11-Sep-18,243.99,Westville Tag Agency,218 South Williams,Westville,OK,74965.0,(918) 723-3762,-94.565799,35.987840000000006,"(35.98784, -94.565799)",74965.0,Westville,Adair
27,115.0,Westville,8-Oct-18,212.28,Westville Tag Agency,218 South Williams,Westville,OK,74965.0,(918) 723-3762,-94.565799,35.987840000000006,"(35.98784, -94.565799)",74965.0,Westville,Adair
28,115.0,Westville,13-Nov-18,262.20,Westville Tag Agency,218 South Williams,Westville,OK,74965.0,(918) 723-3762,-94.565799,35.987840000000006,"(35.98784, -94.565799)",74965.0,Westville,Adair
29,115.0,Westville,11-Dec-18,239.75,Westville Tag Agency,218 South Williams,Westville,OK,74965.0,(918) 723-3762,-94.565799,35.987840000000006,"(35.98784, -94.565799)",74965.0,Westville,Adair
30,115.0,Westville,10-Jan-19,232.65,Westville Tag Agency,218 South Williams,Westville,OK,74965.0,(918) 723-3762,-94.565799,35.987840000000006,"(35.98784, -94.565799)",74965.0,Westville,Adair
31,115.0,Westville,11-Feb-19,236.28,Westville Tag Agency,218 South Williams,Westville,OK,74965.0,(918) 723-3762,-94.565799,35.987840000000006,"(35.98784, -94.565799)",74965.0,Westville,Adair
32,115.0,Westville,11-Mar-19,193.26,Westville Tag Agency,218 South Williams,Westville,OK,74965.0,(918) 723-3762,-94.565799,35.987840000000006,"(35.98784, -94.565799)",74965.0,Westville,Adair
33,115.0,Westville,9-Apr-19,233.07,Westville Tag Agency,218 South Williams,Westville,OK,74965.0,(918) 723-3762,-94.565799,35.987840000000006,"(35.98784, -94.565799)",74965.0,Westville,Adair
34,115.0,Westville,10-May-19,195.88,Westville Tag Agency,218 South Williams,Westville,OK,74965.0,(918) 723-3762,-94.565799,35.987840000000006,"(35.98784, -94.565799)",74965.0,Westville,Adair
35,115.0,Westville,11-Jun-19,289.54,Westville Tag Agency,218 South Williams,Westville,OK,74965.0,(918) 723-3762,-94.565799,35.987840000000006,"(35.98784, -94.565799)",74965.0,Westville,Adair
